NO_CURSO
Letras com Habilitação em Língua e Literatura Portuguesa
Ciência da Computação
Biomedicina
Agronomia
Comunicação Social com Habilitação em Jornalismo
Engenharia Civil
Direito
Geografia
Ciências Econômicas
Pedagogia
Serviço Social
Ciências Contábeis
Engenharia Florestal
Medicina
Administração
Geologia 
Engenharia Elétrica
Enfermagem
Educaçao Física
Nutrição
Matemática
Física
Ciências Biológicas
Medicina Veterinária
Arquitetura e Urbanismo
Letras Português e Inglês
Letras Português e Francês
Letras ? Português e Literaturas
Letras Português e Espanhol e Respectivas Literaturas
Comunicação Social com Habilitação em Radialismo
Comunicação Social com Habilitação em Publicidade e Propaganda
Música
Engenharia Sanitária e Ambiental
Ciência e Tecnologia de Alimentos
Psicologia
Sistemas de Informação
Estatística
Saúde Coletiva**
Zootecnia
Ciências Sociais
Filosofia
História
Química
Farmácia
Engenharia de Alimentos
Biblioteconomia
Informática
Engenharia Agrícola e Ambiental
Engenharia Mecânica
Letras com Habilitação em Língua e Literaturas da Língua Inglesa
Ciências Naturais e Matemática com Habilitação em Matemática
Ciências Naturais e Matemática com Habilitação em Química
Ciências Naturais e Matemática com Habilitação em Física
Odontologia
Engenharia de Pesca
Ciências Naturais
Jornalismo
Geologia
Comunicação Social - Relações Públicas
Letras com Habilitação em Língua e Literatura Inglesa
Letras com Habilitação em Língua e Literatura Francesa
Artes Plásticas
Letras - Espanhol
Engenharia da Computação
Engenharia de Produção
Educação Física - Treinamento Esportivo
Educação Física - Promoção em Saúde e Lazer
Fisioterapia
Design
Engenharia de Materiais
Biotecnologia
Arquivologia
Arquitetura
Engenharia de Petróleo e Gás
Engenharia Química
Engenharia Agronômica
Turismo
Letras - Português
Engenharia de Agrimensura
Letras - Francês
Comunicação Social - Jornalismo
Letras - Inglês
Arqueologia e Conservação de Arte Rupestre
"Moda, Design e Estilismo"
Ciências da Natureza
Artes Visuais
Bioquímica
Engenharia de Bioprocessos
Engenharia de Telecomunicações
Engenharia Mecatrônica
Música com Habilitação em Educação Musical
Teatro
Artes Aplicadas
Letras
Química Industrial
Desenho Industrial
Hotelaria
Comunicação Social com Habilitação em Relações Públicas
Ciências Agrícolas
Economia Doméstica
Belas Artes
Relações Internacionais
Engenharia de Agrimensura e Cartográfica
Administração Pública
Gestão Ambiental
Computação
Gastronomia e Segurança Alimentar
Design de Moda
Processos Químicos
Alimentos
Engenharia Ambiental
Sistemas para Internet
Engenharia Eletrônica
Automação Industrial
Manutenção Industrial
Análise e Desenvolvimento de Sistemas
Mecatrônica Industrial
Radiologia
Processos Ambientais
Sistemas de Telecomunicações
Comunicação Institucional
Design Gráfico
Letras com Habilitação em Língua Portuguesa e Língua Inglesa
Engenharia de Controle e Automação
Engenharia Elétrica -Integral: Matutino e Vespertino
Engenharia Mecânica -Integral: Matutino e Vespertino
Engenharia Elétrica -Integral: Vespertino e Noturno
Engenharia Mecânica -Integral: Vespertino e Noturno
Letras com Habilitação em Inglês- Português
Fabricação Mecânica
Ciências e Tecnologia
Ecologia
Farmácia e Bioquímica
Ciências Ambientais
Licenciatura Plena em Ciências
História da Arte
Terapia Ocupacional
Matematica Computacional
Curso Superior de Tecnologias em Saúde
Engenharia Agrícola
Gestão de Turismo
Engenharia Industrial Mecânica
Administração Industrial
Engenharia Industrial Elétrica com Habilitação em Eletrotécnica
Engenharia Industrial Elétrica com Habilitação em Eletrônica
Engenharia Industrial Elétrica com Habilitação em Telecomunicações
Engenharia Industrial de Controle e Automação
Interdisciplinar em Ciência e Tecnologia
Interdisciplinar em Ciência e Economia
Ciência e Tecnologia **
Humanidades **
Engenharia Ambiental e Energética
Engenharia da Mobilidade
Engenharia de Saúde e Segurança
Ciências Atmosféricas
Engenharia Industrial Elétrica
Biologia
Gestão Pública
Ciências Agrárias
Construção de Edifícios
Viticultura e Enologia
Horticultura
Logística
Agronegócio
Meteorologia
Química de Alimentos
Engenharia Industrial Madeireira
Enfermagem e Obstetrícia
Música com Habilitação em Canto
Música com Habilitação em Flauta Transversal
Música com Habilitação em Violino
Música com Habilitação em Piano
Música com Habilitação em Violão
Economia
Cinema de Animação
Música com Habilitação em Composição
Gestão de Cooperativas
Engenharia Hídrica
Musica -Bacharelado/Habilitação Ciências Musicais
Engenharia de Petróleo
Jornalismo Comunicação
Letras - Português/Epanhol e Respectivas Literaturas
Letras - Português/Francês e Respectivas Literaturas
Letras - Português/Inglês e Respectivas Literaturas
