published_university,University_name
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS
UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSIDADE FEDERAL DO PARANÁ
UNIVERSIDADE FEDERAL DE SÃO CARLOS,UNIVERSIDADE FEDERAL DE SÃO CARLOS
UNIVERSIDADE FEDERAL DE RORAIMA,UNIVERSIDADE FEDERAL DE RORAIMA
Universidade Federal de Rondonópolis,UNIVERSIDADE FEDERAL DE RONDONÓPOLIS
UNIVERSIDADE FEDERAL DE ALAGOAS,UNIVERSIDADE FEDERAL DE ALAGOAS
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
Universidade Federal do Norte do Tocantins,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS
UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UNIVERSIDADE DO ESTADO DE MINAS GERAIS
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UNIVERSIDADE FEDERAL DO SUL DA BAHIA
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
UNIVERSIDADE FEDERAL DO PIAUÍ,UNIVERSIDADE FEDERAL DO PIAUÍ
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT,INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ
UNIVERSIDADE FEDERAL DE CATALÃO,UNIVERSIDADE FEDERAL DE CATALÃO
UNIVERSIDADE FEDERAL DO ACRE,UNIVERSIDADE FEDERAL DO ACRE
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO
UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA
Faculdade Municipal de Educação e Meio Ambiente,FACULDADE MUNICIPAL DE EDUCAÇÃO E MEIO AMBIENTE
UNIVERSIDADE FEDERAL DO CEARÁ,UNIVERSIDADE FEDERAL DO CEARÁ
UNIVERSIDADE FEDERAL DE GOIÁS,UNIVERSIDADE FEDERAL DE GOIÁS
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA
"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
